Animal;Phase;Trial;Behaviour marked;Date;Time marking;Time recall;Total time;Behaviour offered;Double blind;Distractions
Achille;1;1;Spin;;;;10;Spin;0;
Achille;1;2;Tail wave;;;;10;Tail wave;0;
Achille;1;3;Clap;;;;10;Sing;0;
Achille;1;4;Belly up;;;;10;Belly up;0;
Achille;1;5;Clap;;;;10;Clap;0;
Achille;1;6;Tail wave;;;;10;Sing;0;
Achille;1;7;Spin;;;;10;Spin;0;
Achille;1;8;Belly up;;;;10;Belly up;0;
Achille;2;1;Spin;;;;60;Belly up;0;
Achille;2;2;Clap;;;;60;Belly up;0;
Achille;2;3;Belly up;;;;60;Tail wave;0;
Achille;2;4;Tail wave;;;;60;Tail wave;0;
Achille;2;5;Spin;;;;60;Clap;0;
Achille;2;6;Clap;;;;60;Clap;0;
Achille;2;7;Belly up;;;;60;Belly up;0;
Achille;2;8;Tail wave;;;;60;Tail wave;0;
Ulisse;1;1;Spin;;;;10;Spin;0;
Ulisse;1;2;Tail wave;;;;10;Tail wave;0;
Ulisse;1;3;Clap;;;;10;Clap;0;
Ulisse;1;4;Belly up;;;;10;Tail wave;0;
Ulisse;1;5;Clap;;;;10;Clap;0;
Ulisse;1;6;Tail wave;;;;10;Tail wave;0;
Ulisse;1;7;Spin;;;;10;Spin;0;
Ulisse;1;8;Belly up;;;;10;Belly up;0;
Ulisse;2;1;Spin;;;;60;Tail wave;0;
Ulisse;2;2;Clap;;;;60;Tail wave;0;
Ulisse;2;3;Belly up;;;;60;Tail wave;0;
Ulisse;2;4;Tail wave;;;;60;Tail wave;0;
Ulisse;2;5;Spin;;;;60;Spin;0;
Ulisse;2;6;Clap;;;;60;Tail wave;0;
Ulisse;2;7;Belly up;;;;60;Spin;0;
Ulisse;2;8;Tail wave;;;;60;Tail wave;0;
