Animal,Phase,Trial,Behaviour marked,Date,Time marking,Time recall,Total time,Behaviour offered,Double blind,Distractions,Trainer mark,Trainer recall
Eva,0,1,Sing,,,,0,Sing,0,0,,
Eva,0,2,Splash,,,,0,fart,0,0,,
Eva,0,3,Spin,,,,0,Spin,0,0,,
Eva,0,4,Sing,,,,0,Sing,0,0,,
Eva,0,5,Tail wave,,,,0,Tail wave,0,0,,
Eva,0,6,Sing,,,,0,Sing,0,0,,
Eva,0,7,Jump,,,,0,Jump,0,0,,
Eva,0,8,Clap,,,,0,Clap,0,0,,
Eva,0,9,Jump,,,,0,Jump,0,0,,
Eva,0,10,Splash,,,,0,Splash,0,0,,
Eva,0,11,Clap,,,,0,Clap,0,0,,
Eva,0,12,Tail wave,,,,0,Tail wave,0,0,,
Eva,0,13,Clap,,,,0,Clap,0,0,,
Eva,0,14,Spin,,,,0,Spin,0,0,,
Eva,0,15,Jump,,,,0,Jump,0,0,,
Eva,0,16,Tail wave,,,,0,Tail wave,0,0,,
Eva,0,17,Spin,,,,0,Spin,0,0,,
Eva,0,18,Splash,,,,0,Splash,0,0,,
Karina,0,1,Jump,,,,0,Jump,0,0,,
Karina,0,2,Tail wave,,,,0,Tail wave,0,0,,
Karina,0,3,Sing,,,,0,Sing,0,0,,
Karina,0,4,Splash,,,,0,Splash,0,0,,
Karina,0,5,Tail wave,,,,0,Tail wave,0,0,,
Karina,0,6,Splash,,,,0,Splash,0,0,,
Karina,0,7,Jump,,,,0,Jump,0,0,,
Karina,0,8,Spin,,,,0,Go down,0,0,,
Karina,0,9,Jump,,,,0,Jump,0,0,,
Karina,0,10,Splash,,,,0,Splash,0,0,,
Karina,0,11,Spin,,,,0,Spin,0,0,,
Karina,0,12,Clap,,,,0,Clap,0,0,,
Karina,0,13,Spin,,,,0,Spin,0,0,,
Karina,0,14,Sing,,,,0,Sing,0,0,,
Karina,0,15,Clap,,,,0,Clap,0,0,,
Karina,0,16,Sing,,,,0,Sing ,0,0,,
Karina,0,17,Clap,,,,0,Clap,0,0,,
Karina,0,18,Tail wave,,,,0,Tail wave,0,0,,
Lluvia,0,1,Splash,,,,0,Splash,0,0,,
Lluvia,0,2,Tail wave,,,,0,Tail wave,0,0,,
Lluvia,0,3,Tail wave,,,,0,Tail wave,0,0,,
Lluvia,0,4,Sing,,,,0,Sing ,0,0,,
Lluvia,0,5,Spin,,,,0,Spin,0,0,,
